sayso_subcategory_slug,fsq_category_id,fsq_category_name,count
events-festivals,4bf58dd8d48988d129941735,City Hall,1
family-activities,4bf58dd8d48988d1e7941735,Playground,2
family-activities,4bf58dd8d48988d130941735,Structure,1
family-activities,4bf58dd8d48988d105951735,Children's Clothing Store,1
family-activities,52f2ab2ebcbc57f1066b8b57,Employment Agency,1
family-activities,52f2ab2ebcbc57f1066b8b32,Baby Store,1
family-activities,4bf58dd8d48988d104941735,Medical Center,1
family-activities,63be6904847c3692a84b9bbe,Healthcare Clinic,1
family-activities,4bf58dd8d48988d178941735,Dentist,1
family-activities,4bf58dd8d48988d118951735,Grocery Store,1
family-activities,4d954b06a243a5684965b473,Apartment or Condo,1
family-activities,4bf58dd8d48988d1fa931735,Hotel,1
family-activities,4bf58dd8d48988d177941735,Doctor's Office,1
family-activities,4bf58dd8d48988d1f9931735,Road,1
family-activities,4bf58dd8d48988d132941735,Church,1
family-activities,52f2ab2ebcbc57f1066b8b3d,Pop-Up Store,1
fashion,4bf58dd8d48988d106951735,Men's Store,1
fashion,4bf58dd8d48988d101951735,Vintage and Thrift Store,1
fashion,4bf58dd8d48988d108951735,Women's Store,5
fashion,4bf58dd8d48988d1f1941735,Board Store,1
fashion,4deefb944765f83613cdba6e,Historic and Protected Site,1
fashion,4bf58dd8d48988d111951735,Jewelry Store,4
fashion,4bf58dd8d48988d104951735,Boutique,1
fashion,4bf58dd8d48988d107951735,Shoe Store,4
fashion,4d954afda243a5684865b473,Eyecare Store,1
fashion,4bf58dd8d48988d1f4941735,Design Studio,1
fashion,4bf58dd8d48988d118951735,Grocery Store,1
fashion,4bf58dd8d48988d102951735,Fashion Accessories Store,7
fashion,4bf58dd8d48988d105951735,Children's Clothing Store,3
fashion,4bf58dd8d48988d165941735,Scenic Lookout,1
fashion,4bf58dd8d48988d1c8941735,African Restaurant,1
fashion,4def73e84765ae376e57713a,Portuguese Restaurant,1
fashion,5744ccdfe4b0c0459246b4dc,Shopping Plaza,1
fashion,50be8ee891d4fa8dcc7199a7,Market,2
fashion,4bf58dd8d48988d1f2941735,Sporting Goods Retail,4
fashion,4d4b7105d754a06374d81259,Restaurant,2
fashion,4bf58dd8d48988d103951735,Clothing Store,57
fast-food,4def73e84765ae376e57713a,Portuguese Restaurant,1
fast-food,4bf58dd8d48988d145941735,Chinese Restaurant,1
fast-food,4bf58dd8d48988d110941735,Italian Restaurant,1
fast-food,4edd64a0c7ddd24ca188df1a,Fish and Chips Shop,1
fast-food,4bf58dd8d48988d118951735,Grocery Store,1
fast-food,4bf58dd8d48988d1c3941735,Moroccan Restaurant,1
fast-food,4bf58dd8d48988d1d2941735,Sushi Restaurant,1
fast-food,4bf58dd8d48988d1a1941735,College Cafeteria,1
fast-food,4bf58dd8d48988d1cb941735,Food Truck,1
fast-food,4bf58dd8d48988d115941735,Middle Eastern Restaurant,1
fast-food,4bf58dd8d48988d16c941735,Burger Joint,4
fast-food,4d4ae6fc7a7b7dea34424761,Fried Chicken Joint,1
fast-food,4bf58dd8d48988d1c5941735,Sandwich Spot,1
fast-food,4bf58dd8d48988d16e941735,Fast Food Restaurant,50
finance-insurance,4d4b7105d754a06378d81259,Retail,1
finance-insurance,4d4b7105d754a06374d81259,Restaurant,1
finance-insurance,58daa1558bbb0b01f18ec1f1,Insurance Agency,6
finance-insurance,4bf58dd8d48988d113951735,Fuel Station,1
finance-insurance,52f2ab2ebcbc57f1066b8b56,ATM,2
finance-insurance,4bf58dd8d48988d130941735,Structure,2
finance-insurance,5f2c43a65b4c177b9a6dcc62,Blood Bank,5
finance-insurance,4bf58dd8d48988d10a951735,Bank,39
fine-dining,4bf58dd8d48988d143941735,Breakfast Spot,1
fine-dining,52e81612bcbc57f1066b79f1,Bistro,1
fine-dining,4bf58dd8d48988d146941735,Deli,1
fine-dining,4bf58dd8d48988d1f5931735,Dim Sum Restaurant,1
fine-dining,4bf58dd8d48988d1c8941735,African Restaurant,1
fine-dining,4bf58dd8d48988d10e941735,Greek Restaurant,1
fine-dining,4bf58dd8d48988d1d3941735,Vegan and Vegetarian Restaurant,1
fine-dining,4bf58dd8d48988d1ca941735,Pizzeria,3
fine-dining,4bf58dd8d48988d1db931735,Tapas Restaurant,1
fine-dining,4bf58dd8d48988d157941735,New American Restaurant,1
fine-dining,4bf58dd8d48988d120951735,Food Court,1
fine-dining,4bf58dd8d48988d1cc941735,Steakhouse,2
fine-dining,4bf58dd8d48988d16c941735,Burger Joint,2
fine-dining,4bf58dd8d48988d1d2941735,Sushi Restaurant,2
fine-dining,4bf58dd8d48988d10c941735,French Restaurant,2
fine-dining,4bf58dd8d48988d16a941735,Bakery,1
fine-dining,4bf58dd8d48988d155941735,Gastropub,3
fine-dining,4bf58dd8d48988d1df931735,BBQ Joint,1
fine-dining,4d4b7105d754a06374d81259,Restaurant,6
fine-dining,4bf58dd8d48988d10a941735,Ethiopian Restaurant,2
fine-dining,4def73e84765ae376e57713a,Portuguese Restaurant,2
fine-dining,4bf58dd8d48988d10f941735,Indian Restaurant,1
fine-dining,4bf58dd8d48988d111941735,Japanese Restaurant,1
fine-dining,4bf58dd8d48988d110941735,Italian Restaurant,3
fine-dining,4bf58dd8d48988d16d941735,Café,8
fine-dining,4bf58dd8d48988d179941735,Bagel Shop,1
galleries,4bf58dd8d48988d18f941735,Art Museum,1
galleries,50aaa49e4b90af0d42d5de11,Castle,2
galleries,4bf58dd8d48988d163941735,Park,2
