fsq_category_id,fsq_category_name,sayso_subcategory_slug,sayso_category_slug,count
4bf58dd8d48988d14a941735,Vietnamese Restaurant,restaurants,,1
4f04af1f2fb6e1c99f3db0bb,Turkish Restaurant,restaurants,,1
4bf58dd8d48988d10d941735,German Restaurant,restaurants,,1
5e18993feee47d000759b256,Coffee Roaster,cafes,,1
4bf58dd8d48988d122941735,Whisky Bar,cafes,,1
4bf58dd8d48988d112941735,Juice Bar,cafes,,1
4bf58dd8d48988d1e8931735,Piano Bar,bars,,1
4bf58dd8d48988d1c5941735,Sandwich Spot,fast-food,,1
4d4ae6fc7a7b7dea34424761,Fried Chicken Joint,fast-food,,1
4bf58dd8d48988d115941735,Middle Eastern Restaurant,fast-food,,1
4bf58dd8d48988d1cb941735,Food Truck,fast-food,,1
4bf58dd8d48988d1a1941735,College Cafeteria,fast-food,,1
4bf58dd8d48988d1c3941735,Moroccan Restaurant,fast-food,,1
4bf58dd8d48988d118951735,Grocery Store,fast-food,,1
4edd64a0c7ddd24ca188df1a,Fish and Chips Shop,fast-food,,1
4bf58dd8d48988d145941735,Chinese Restaurant,fast-food,,1
4bf58dd8d48988d105941735,Gym Pool,gyms,,1
52f2ab2ebcbc57f1066b8b48,Gymnastics Center,gyms,,1
4bf58dd8d48988d1c9941735,Ice Cream Parlor,wellness,,1
4fceea171983d5d06c3e9823,Aquarium,wellness,,1
4bf58dd8d48988d1fa941735,Farmers Market,wellness,,1
4bf58dd8d48988d1ad941735,Trade School,education-learning,,1
4f04b10d2fb6e1c99f3db0be,Music School,education-learning,,1
52e81612bcbc57f1066b7a46,Private School,education-learning,,1
554a5e17498efabeda6cc559,Photography Studio,education-learning,,1
56aa371ce4b08b9a8d573570,Adult Education,education-learning,,1
4bf58dd8d48988d1ab941735,Student Center,education-learning,,1
4bf58dd8d48988d197941735,College Administrative Building,education-learning,,1
4bf58dd8d48988d199941735,College Arts Building,education-learning,,1
4bf58dd8d48988d126941735,Government Building,education-learning,,1
4bf58dd8d48988d1dc931735,Tea Room,education-learning,,1
4d4b7105d754a06375d81259,Business and Professional Services,education-learning,,1
4bf58dd8d48988d113951735,Fuel Station,finance-insurance,,1
4d4b7105d754a06378d81259,Retail,finance-insurance,,1
545419b1498ea6ccd0202f58,Home Service,electricians,,1
52f2ab2ebcbc57f1066b8b50,Cable Car,hiking,,1
56aa371be4b08b9a8d57355e,Bike Trail,hiking,,1
4f2a25ac4b909258e854f55f,Neighborhood,hiking,,1
4bf58dd8d48988d12f951735,Resort,water-sports,,1
4bf58dd8d48988d118941735,Dive Bar,water-sports,,1
4bf58dd8d48988d162941735,Other Great Outdoors,water-sports,,1
4bf58dd8d48988d1f0941735,Internet Cafe,water-sports,,1
4bf58dd8d48988d1e4941735,Campground,camping,,1
4bf58dd8d48988d19f941735,College Technology Building,camping,,1
4bf58dd8d48988d1fe931735,Bus Station,camping,,1
52f2ab2ebcbc57f1066b8b21,Stationery Store,camping,,1
4bf58dd8d48988d116951735,Antique Store,camping,,1
4bf58dd8d48988d15f941735,Field,camping,,1
503288ae91d4c4b30a586d67,Afghan Restaurant,camping,,1
56aa371be4b08b9a8d573552,Rental Service,camping,,1
4bf58dd8d48988d1e5941735,Dog Park,camping,,1
52f2ab2ebcbc57f1066b8b22,Outdoor Supply Store,camping,,1
5267e4d9e4b0ec79466e48d1,Music Festival,events-festivals,,1
4bf58dd8d48988d107941735,Argentinian Restaurant,events-festivals,,1
5267e4d9e4b0ec79466e48c8,Other Event,events-festivals,,1
52e81612bcbc57f1066b7a26,Recreation Center,sports-recreation,,1
4bf58dd8d48988d134941735,Dance Studio,sports-recreation,,1
4bf58dd8d48988d167941735,Skate Park,sports-recreation,,1
4cce455aebf7b749d5e191f5,Soccer Field,sports-recreation,,1
4bf58dd8d48988d1b4941735,College Stadium,sports-recreation,,1
56aa371be4b08b9a8d573556,Rugby Stadium,sports-recreation,,1
4bf58dd8d48988d103941735,Home (private),sports-recreation,,1
4bf58dd8d48988d120941735,Karaoke Bar,nightlife,,1
4bf58dd8d48988d1d6941735,Strip Club,nightlife,,1
4bf58dd8d48988d1e5931735,Music Venue,nightlife,,1
52e81612bcbc57f1066b79ef,Country Dance Club,nightlife,,1
52e81612bcbc57f1066b79ec,Salsa Club,nightlife,,1
4bf58dd8d48988d1f2931735,Performing Arts Venue,comedy-clubs,,1
4bf58dd8d48988d192941735,Planetarium,museums,,1
4bf58dd8d48988d1e7931735,Jazz and Blues Venue,concerts,,1
52f2ab2ebcbc57f1066b8b3d,Pop-Up Store,family-activities,,1
4bf58dd8d48988d132941735,Church,family-activities,,1
4bf58dd8d48988d1f9931735,Road,family-activities,,1
4bf58dd8d48988d177941735,Doctor's Office,family-activities,,1
4bf58dd8d48988d178941735,Dentist,family-activities,,1
63be6904847c3692a84b9bbe,Healthcare Clinic,family-activities,,1
4bf58dd8d48988d104941735,Medical Center,family-activities,,1
52f2ab2ebcbc57f1066b8b32,Baby Store,family-activities,,1
52f2ab2ebcbc57f1066b8b57,Employment Agency,family-activities,,1
4bf58dd8d48988d1f4941735,Design Studio,fashion,,1
4d954afda243a5684865b473,Eyecare Store,fashion,,1
4bf58dd8d48988d104951735,Boutique,fashion,,1
4bf58dd8d48988d101951735,Vintage and Thrift Store,fashion,,1
4bf58dd8d48988d106951735,Men's Store,fashion,,1
4eb1bdde3b7b55596b4a7490,Photography Lab,electronics,,1
52f2ab2ebcbc57f1066b8b45,Organic Grocery,home-decor,,1
63be6904847c3692a84b9bf2,Housewares Store,home-decor,,1
4bf58dd8d48988d121951735,Office Supply Store,books,,1
4f4530164b9074f6e4fb00ff,Tourist Information and Service,books,,1
4bf58dd8d48988d149941735,Thai Restaurant,books,,1
52f2ab2ebcbc57f1066b8b36,IT Service,miscellaneous,,1
4bf58dd8d48988d127941735,Meeting Room,miscellaneous,,1
52f2ab2ebcbc57f1066b8b28,Print Store,miscellaneous,,1
63be6904847c3692a84b9b58,Home Improvement Service,miscellaneous,,1
